model,feature_mode,feature_space,num_features,direction,optimal_threshold_mean,optimal_threshold_std,optimal_threshold_formatted,training_time_sec_mean,training_time_sec_std,training_time_sec_formatted,inference_time_sec_mean,inference_time_sec_std,inference_time_sec_formatted,val_illicit_f1_mean,val_illicit_f1_std,val_illicit_f1_formatted,val_pr_auc_mean,val_pr_auc_std,val_pr_auc_formatted,val_illicit_precision_mean,val_illicit_precision_std,val_illicit_precision_formatted,val_illicit_recall_mean,val_illicit_recall_std,val_illicit_recall_formatted,val_roc_auc_mean,val_roc_auc_std,val_roc_auc_formatted,test_illicit_f1_mean,test_illicit_f1_std,test_illicit_f1_formatted,test_pr_auc_mean,test_pr_auc_std,test_pr_auc_formatted,test_illicit_precision_mean,test_illicit_precision_std,test_illicit_precision_formatted,test_illicit_recall_mean,test_illicit_recall_std,test_illicit_recall_formatted,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_formatted,test_roc_auc_mean,test_roc_auc_std,test_roc_auc_formatted,test_mcc_mean,test_mcc_std,test_mcc_formatted,test_accuracy_mean,test_accuracy_std,test_accuracy_formatted
GraphSAGE,local,Local Only (93),93,forward,0.6599999999999999,0.20554804791094464,0.6600 ± 0.2055,283.7769823074341,179.95557890850077,283.7770 ± 179.9556,1.18458251953125,0.7056861865118756,1.1846 ± 0.7057,0.6059742370373649,0.22699469092231786,0.6060 ± 0.2270,0.5892344229825868,0.2208197004306958,0.5892 ± 0.2208,0.6059387839239985,0.2782141450078121,0.6059 ± 0.2782,0.6572706935123043,0.21673338358079094,0.6573 ± 0.2167,0.9080412602727806,0.055419961900252,0.9080 ± 0.0554,0.415271693412249,0.19142718976484824,0.4153 ± 0.1914,0.3659032123954006,0.18586665937124974,0.3659 ± 0.1859,0.4429638458295216,0.3020930495139081,0.4430 ± 0.3021,0.4569182389937107,0.13817525613572115,0.4569 ± 0.1382,0.6835520387667888,0.10955566975788564,0.6836 ± 0.1096,0.8003365268804125,0.023442157881426028,0.8003 ± 0.0234,0.3905366658561733,0.20945334106692795,0.3905 ± 0.2095,0.9121244635193133,0.05930361332093904,0.9121 ± 0.0593
GAT,full,Full Features (165),165,forward,0.86,0.1176860229593982,0.8600 ± 0.1177,704.1418629646301,326.7413430756325,704.1419 ± 326.7413,1.8165729999542237,0.45922004490448887,1.8166 ± 0.4592,0.6006007586891601,0.09823089355595445,0.6006 ± 0.0982,0.5938749946047157,0.11911357445853528,0.5939 ± 0.1191,0.6009346812756304,0.11117435538742045,0.6009 ± 0.1112,0.6013422818791947,0.08675071775561698,0.6013 ± 0.0868,0.9187453744462099,0.047094836935579004,0.9187 ± 0.0471,0.33083413093639924,0.06017613620764322,0.3308 ± 0.0602,0.26669278298504484,0.06950300953259998,0.2667 ± 0.0695,0.2679761654902014,0.06317107611783307,0.2680 ± 0.0632,0.4411949685534591,0.02809586087034821,0.4412 ± 0.0281,0.6367774344248549,0.03850591993535365,0.6368 ± 0.0385,0.8145605414481387,0.046599472421215,0.8146 ± 0.0466,0.28987808324555675,0.06403226939640132,0.2899 ± 0.0640,0.8947067238912731,0.02914443640396921,0.8947 ± 0.0291
GraphSAGE,full,Full Features (165),165,forward,0.6539999999999999,0.20206434618705002,0.6540 ± 0.2021,1246.4124063491822,2179.2890707598967,1246.4124 ± 2179.2891,2.0328115940093996,0.7587784929754013,2.0328 ± 0.7588,0.44725463574787383,0.1590456243084892,0.4473 ± 0.1590,0.41058778398357954,0.1737651463343609,0.4106 ± 0.1738,0.41709840495033673,0.1968634275671492,0.4171 ± 0.1969,0.5118568232662193,0.13576119365314054,0.5119 ± 0.1358,0.8561604274133792,0.07919455124200286,0.8562 ± 0.0792,0.28221754513206343,0.12477541236823642,0.2822 ± 0.1248,0.23664040668693054,0.1386174999960264,0.2366 ± 0.1386,0.2694610439217627,0.18579724773511339,0.2695 ± 0.1858,0.35880503144654086,0.07558135377674005,0.3588 ± 0.0756,0.6072547445906186,0.0788196949702763,0.6073 ± 0.0788,0.7630184296763761,0.0644650128612327,0.7630 ± 0.0645,0.23909764524924734,0.1394029410888453,0.2391 ± 0.1394,0.8774856938483546,0.0620156358870556,0.8775 ± 0.0620
GCN,full,Full Features (165),165,forward,0.7,0.1847971861257633,0.7000 ± 0.1848,480.3672690868378,290.38608434372804,480.3673 ± 290.3861,1.7714757442474365,0.3084481115475789,1.7715 ± 0.3084,0.4292661163470194,0.09230612702115051,0.4293 ± 0.0923,0.40558790252834304,0.13855223643698883,0.4056 ± 0.1386,0.4029736622313793,0.15397017130709237,0.4030 ± 0.1540,0.4979865771812081,0.09851786137246374,0.4980 ± 0.0985,0.844978740766096,0.06728542821057262,0.8450 ± 0.0673,0.2588828934366211,0.06385706746425127,0.2589 ± 0.0639,0.22020590856052405,0.070341515538635,0.2202 ± 0.0703,0.2788485509174429,0.12547265604639432,0.2788 ± 0.1255,0.28836477987421383,0.08392162114325898,0.2884 ± 0.0839,0.6019969434501729,0.04405660803699034,0.6020 ± 0.0441,0.7618269164263756,0.043727966877100205,0.7618 ± 0.0437,0.2213278741758678,0.07664108940493157,0.2213 ± 0.0766,0.8988555078683833,0.0499836928177423,0.8989 ± 0.0500
GCN,local,Local Only (93),93,forward,0.634,0.1882285844392397,0.6340 ± 0.1882,353.54277687072755,270.89130066782377,353.5428 ± 270.8913,0.9708914279937744,0.8338034010300824,0.9709 ± 0.8338,0.4275569006156298,0.08984069825596293,0.4276 ± 0.0898,0.3925210879922638,0.09603683476764764,0.3925 ± 0.0960,0.37534162016954564,0.14885658692690507,0.3753 ± 0.1489,0.5753914988814317,0.14135976572955825,0.5754 ± 0.1414,0.8513806625990652,0.021524484751268048,0.8514 ± 0.0215,0.2558501027927657,0.0674169013123545,0.2559 ± 0.0674,0.21318241756483652,0.09045328884016858,0.2132 ± 0.0905,0.2010131972171981,0.0862654679313121,0.2010 ± 0.0863,0.429874213836478,0.12781191124641464,0.4299 ± 0.1278,0.5802975920284321,0.06703988526804203,0.5803 ± 0.0670,0.7495145730926367,0.03370171101186621,0.7495 ± 0.0337,0.21295771544607933,0.06654149467017349,0.2130 ± 0.0665,0.8368919885550788,0.10899432169387567,0.8369 ± 0.1090
GAT,local,Local Only (93),93,forward,0.6779999999999999,0.1130044246921332,0.6780 ± 0.1130,1880.6301030158997,3627.357910936748,1880.6301 ± 3627.3579,2.443416213989258,0.8864449163034112,2.4434 ± 0.8864,0.37968649919729514,0.04572184812583261,0.3797 ± 0.0457,0.27411738230961336,0.10111016457353596,0.2741 ± 0.1011,0.324487370985972,0.11641120402644704,0.3245 ± 0.1164,0.5082774049217003,0.0757560606591572,0.5083 ± 0.0758,0.8336054834927389,0.027800166783351888,0.8336 ± 0.0278,0.2366512406725784,0.058593468102822836,0.2367 ± 0.0586,0.16530304256473463,0.0747197911718893,0.1653 ± 0.0747,0.19643215913945064,0.11773312140008901,0.1964 ± 0.1177,0.39433962264150946,0.12213348253395544,0.3943 ± 0.1221,0.575824387889916,0.040987335210439735,0.5758 ± 0.0410,0.7731905270425942,0.021611608774651885,0.7732 ± 0.0216,0.19588945079817366,0.0720745766074284,0.1959 ± 0.0721,0.8481938483547926,0.05099943507614173,0.8482 ± 0.0510
