model,unknown_treatment,test_illicit_f1_mean,test_illicit_f1_std,test_illicit_f1_formatted,test_pr_auc_mean,test_pr_auc_std,test_pr_auc_formatted,test_precision_formatted,test_recall_formatted,test_mcc_formatted
GAT,Removed (Labeled Only),0.29184902102177646,0.05209398168922726,0.2918 ± 0.0521,0.23163278742933463,0.0726923636347874,0.2316 ± 0.0727,0.2038 ± 0.0653,0.5736 ± 0.0698,0.2679 ± 0.0430
GAT,Retained (100% Graph),0.3308341309363993,0.060176136207643206,0.3308 ± 0.0602,0.26669278298504484,0.06950300953259997,0.2667 ± 0.0695,0.2680 ± 0.0632,0.4412 ± 0.0281,0.2899 ± 0.0640
GCN,Removed (Labeled Only),0.4554800252410941,0.05240770235741302,0.4555 ± 0.0524,0.39965842398558243,0.07883123815309155,0.3997 ± 0.0788,0.5576 ± 0.1280,0.3934 ± 0.0301,0.4381 ± 0.0653
GCN,Retained (100% Graph),0.2588828934366211,0.06385706746425125,0.2589 ± 0.0639,0.22020590856052408,0.07034151553863502,0.2202 ± 0.0703,0.2788 ± 0.1255,0.2884 ± 0.0839,0.2213 ± 0.0766
GraphSAGE,Removed (Labeled Only),0.4131943685445806,0.05137290459576979,0.4132 ± 0.0514,0.3325532114804297,0.05286268130237624,0.3326 ± 0.0529,0.4321 ± 0.1439,0.4261 ± 0.0590,0.3849 ± 0.0630
GraphSAGE,Retained (100% Graph),0.28221754513206343,0.12477541236823642,0.2822 ± 0.1248,0.23664040668693054,0.1386174999960264,0.2366 ± 0.1386,0.2695 ± 0.1858,0.3588 ± 0.0756,0.2391 ± 0.1394
