Experiment_ID,Phase,Model_Family,Model,Feature_Space,Feature_Count,Weighting,Graph_Context,Graph_Direction,Depth,Seed,Train_Timesteps,Val_Timesteps,Test_Timesteps,Validation_F1,Validation_PR_AUC,Test_F1,Test_PR_AUC,Test_Precision,Test_Recall,Test_MCC,Status,Recommended_Paper_Section,Notes
EXP_087,Phase 3 (GNNs),Graph Neural Network,GraphSAGE,Local Only (93),93,Weighted (pos_weight=7.63),Retained (100% Graph),Forward (u -> v),2,123,1–34,35–39,40–49,0.4664,0.4048,0.2913,0.182,0.256,0.3381,0.245,ABLATION,Section 5 (Feature Space Analysis),Primary forward GNN run with full graph context (Seed 123)
EXP_088,Phase 3 (GNNs),Graph Neural Network,GraphSAGE,Local Only (93),93,Weighted (pos_weight=7.63),Retained (100% Graph),Forward (u -> v),2,456,1–34,35–39,40–49,0.4399,0.4802,0.2775,0.3253,0.1796,0.6101,0.2593,ABLATION,Section 5 (Feature Space Analysis),Primary forward GNN run with full graph context (Seed 456)
EXP_089,Phase 3 (GNNs),Graph Neural Network,GraphSAGE,Local Only (93),93,Weighted (pos_weight=7.63),Retained (100% Graph),Forward (u -> v),2,789,1–34,35–39,40–49,0.8619,0.8585,0.6239,0.5501,0.7971,0.5126,0.6227,ABLATION,Section 5 (Feature Space Analysis),Primary forward GNN run with full graph context (Seed 789)
EXP_090,Phase 3 (GNNs),Graph Neural Network,GraphSAGE,Local Only (93),93,Weighted (pos_weight=7.63),Retained (100% Graph),Forward (u -> v),2,999,1–34,35–39,40–49,0.416,0.4059,0.2583,0.2017,0.2354,0.2862,0.2101,ABLATION,Section 5 (Feature Space Analysis),Primary forward GNN run with full graph context (Seed 999)
EXP_091,Phase 3 (GNNs),Graph Neural Network,GAT,Local Only (93),93,Weighted (pos_weight=7.63),Retained (100% Graph),Forward (u -> v),2,42,1–34,35–39,40–49,0.3657,0.2625,0.2524,0.1668,0.164,0.5472,0.2238,ABLATION,Section 5 (Feature Space Analysis),Primary forward GNN run with full graph context (Seed 42)
EXP_092,Phase 3 (GNNs),Graph Neural Network,GAT,Local Only (93),93,Weighted (pos_weight=7.63),Retained (100% Graph),Forward (u -> v),2,123,1–34,35–39,40–49,0.3744,0.2403,0.2298,0.13,0.1533,0.4591,0.1886,ABLATION,Section 5 (Feature Space Analysis),Primary forward GNN run with full graph context (Seed 123)
EXP_093,Phase 3 (GNNs),Graph Neural Network,GAT,Local Only (93),93,Weighted (pos_weight=7.63),Retained (100% Graph),Forward (u -> v),2,456,1–34,35–39,40–49,0.3616,0.2146,0.1682,0.1149,0.1227,0.2673,0.1068,ABLATION,Section 5 (Feature Space Analysis),Primary forward GNN run with full graph context (Seed 456)
EXP_094,Phase 3 (GNNs),Graph Neural Network,GAT,Local Only (93),93,Weighted (pos_weight=7.63),Retained (100% Graph),Forward (u -> v),2,789,1–34,35–39,40–49,0.458,0.4502,0.3255,0.294,0.4052,0.272,0.2996,ABLATION,Section 5 (Feature Space Analysis),Primary forward GNN run with full graph context (Seed 789)
EXP_095,Phase 3 (GNNs),Graph Neural Network,GAT,Local Only (93),93,Weighted (pos_weight=7.63),Retained (100% Graph),Forward (u -> v),2,999,1–34,35–39,40–49,0.3388,0.203,0.2074,0.1208,0.1371,0.4261,0.1605,ABLATION,Section 5 (Feature Space Analysis),Primary forward GNN run with full graph context (Seed 999)
EXP_096,Phase 3 (GNNs),Graph Neural Network,GCN,Full Features (165),165,Weighted (pos_weight=7.63),Retained (100% Graph),Forward (u -> v),2,42,1–34,35–39,40–49,0.4668,0.4428,0.3377,0.2673,0.2892,0.4057,0.2954,MAIN_RESULT,Section 4 (Main Model Comparison),Primary forward GNN run with full graph context (Seed 42)
EXP_097,Phase 3 (GNNs),Graph Neural Network,GCN,Full Features (165),165,Weighted (pos_weight=7.63),Retained (100% Graph),Forward (u -> v),2,123,1–34,35–39,40–49,0.5193,0.5397,0.2937,0.2476,0.3978,0.2327,0.2731,MAIN_RESULT,Section 4 (Main Model Comparison),Primary forward GNN run with full graph context (Seed 123)
EXP_098,Phase 3 (GNNs),Graph Neural Network,GCN,Full Features (165),165,Weighted (pos_weight=7.63),Retained (100% Graph),Forward (u -> v),2,456,1–34,35–39,40–49,0.4849,0.488,0.2706,0.2638,0.4,0.2044,0.2563,MAIN_RESULT,Section 4 (Main Model Comparison),Primary forward GNN run with full graph context (Seed 456)
EXP_099,Phase 3 (GNNs),Graph Neural Network,GCN,Full Features (165),165,Weighted (pos_weight=7.63),Retained (100% Graph),Forward (u -> v),2,789,1–34,35–39,40–49,0.2892,0.1827,0.1749,0.0981,0.1172,0.3443,0.1167,MAIN_RESULT,Section 4 (Main Model Comparison),Primary forward GNN run with full graph context (Seed 789)
EXP_100,Phase 3 (GNNs),Graph Neural Network,GCN,Full Features (165),165,Weighted (pos_weight=7.63),Retained (100% Graph),Forward (u -> v),2,999,1–34,35–39,40–49,0.3861,0.3747,0.2176,0.2242,0.1899,0.2547,0.1651,MAIN_RESULT,Section 4 (Main Model Comparison),Primary forward GNN run with full graph context (Seed 999)
EXP_101,Phase 3 (GNNs),Graph Neural Network,GraphSAGE,Full Features (165),165,Weighted (pos_weight=7.63),Retained (100% Graph),Forward (u -> v),2,42,1–34,35–39,40–49,0.3378,0.2799,0.1874,0.1352,0.1438,0.2689,0.1295,MAIN_RESULT,Section 4 (Main Model Comparison),Primary forward GNN run with full graph context (Seed 42)
EXP_102,Phase 3 (GNNs),Graph Neural Network,GraphSAGE,Full Features (165),165,Weighted (pos_weight=7.63),Retained (100% Graph),Forward (u -> v),2,123,1–34,35–39,40–49,0.3616,0.3709,0.2094,0.1539,0.1353,0.4638,0.1666,MAIN_RESULT,Section 4 (Main Model Comparison),Primary forward GNN run with full graph context (Seed 123)
EXP_103,Phase 3 (GNNs),Graph Neural Network,GraphSAGE,Full Features (165),165,Weighted (pos_weight=7.63),Retained (100% Graph),Forward (u -> v),2,456,1–34,35–39,40–49,0.629,0.6442,0.4222,0.3864,0.5011,0.3648,0.3986,MAIN_RESULT,Section 4 (Main Model Comparison),Primary forward GNN run with full graph context (Seed 456)
EXP_104,Phase 3 (GNNs),Graph Neural Network,GraphSAGE,Full Features (165),165,Weighted (pos_weight=7.63),Retained (100% Graph),Forward (u -> v),2,789,1–34,35–39,40–49,0.6101,0.53,0.4144,0.3894,0.4421,0.3899,0.3822,MAIN_RESULT,Section 4 (Main Model Comparison),Primary forward GNN run with full graph context (Seed 789)
EXP_105,Phase 3 (GNNs),Graph Neural Network,GraphSAGE,Full Features (165),165,Weighted (pos_weight=7.63),Retained (100% Graph),Forward (u -> v),2,999,1–34,35–39,40–49,0.2978,0.2281,0.1777,0.1184,0.1251,0.3066,0.1185,MAIN_RESULT,Section 4 (Main Model Comparison),Primary forward GNN run with full graph context (Seed 999)
EXP_106,Phase 3 (GNNs),Graph Neural Network,GAT,Full Features (165),165,Weighted (pos_weight=7.63),Retained (100% Graph),Forward (u -> v),2,42,1–34,35–39,40–49,0.6498,0.6655,0.3638,0.3303,0.3076,0.445,0.3241,MAIN_RESULT,Section 4 (Main Model Comparison),Primary forward GNN run with full graph context (Seed 42)
EXP_107,Phase 3 (GNNs),Graph Neural Network,GAT,Full Features (165),165,Weighted (pos_weight=7.63),Retained (100% Graph),Forward (u -> v),2,123,1–34,35–39,40–49,0.6428,0.6469,0.3603,0.2917,0.2939,0.4654,0.322,MAIN_RESULT,Section 4 (Main Model Comparison),Primary forward GNN run with full graph context (Seed 123)
EXP_108,Phase 3 (GNNs),Graph Neural Network,GAT,Full Features (165),165,Weighted (pos_weight=7.63),Retained (100% Graph),Forward (u -> v),2,456,1–34,35–39,40–49,0.6561,0.6524,0.3618,0.2971,0.2952,0.467,0.3236,MAIN_RESULT,Section 4 (Main Model Comparison),Primary forward GNN run with full graph context (Seed 456)
EXP_109,Phase 3 (GNNs),Graph Neural Network,GAT,Full Features (165),165,Weighted (pos_weight=7.63),Retained (100% Graph),Forward (u -> v),2,789,1–34,35–39,40–49,0.6284,0.6219,0.3443,0.2648,0.2874,0.4292,0.3032,MAIN_RESULT,Section 4 (Main Model Comparison),Primary forward GNN run with full graph context (Seed 789)
EXP_110,Phase 3 (GNNs),Graph Neural Network,GAT,Full Features (165),165,Weighted (pos_weight=7.63),Retained (100% Graph),Forward (u -> v),2,999,1–34,35–39,40–49,0.4258,0.3827,0.2241,0.1495,0.1557,0.3994,0.1764,MAIN_RESULT,Section 4 (Main Model Comparison),Primary forward GNN run with full graph context (Seed 999)
