Experiment_ID,Phase,Model_Family,Model,Feature_Space,Feature_Count,Weighting,Graph_Context,Graph_Direction,Depth,Seed,Train_Timesteps,Val_Timesteps,Test_Timesteps,Validation_F1,Validation_PR_AUC,Test_F1,Test_PR_AUC,Test_Precision,Test_Recall,Test_MCC,Status,Recommended_Paper_Section,Notes
EXP_021,Phase 2 (Baselines),Gradient Boosting,XGBoost,Local Only (93),93,Standard,None (Tabular),None (Tabular),N/A,42,1–34,35–39,40–49,0.9183,0.9549,0.67,0.6546,0.9203,0.5267,0.6839,ABLATION,Section 5 (Feature Space Analysis),Conventional baseline run (Seed 42)
EXP_022,Phase 2 (Baselines),Gradient Boosting,XGBoost,Local Only (93),93,Standard,None (Tabular),None (Tabular),N/A,123,1–34,35–39,40–49,0.9214,0.952,0.6802,0.6574,0.8781,0.555,0.6847,ABLATION,Section 5 (Feature Space Analysis),Conventional baseline run (Seed 123)
EXP_023,Phase 2 (Baselines),Gradient Boosting,XGBoost,Local Only (93),93,Standard,None (Tabular),None (Tabular),N/A,456,1–34,35–39,40–49,0.915,0.9495,0.6521,0.6504,0.8865,0.5157,0.6626,ABLATION,Section 5 (Feature Space Analysis),Conventional baseline run (Seed 456)
EXP_024,Phase 2 (Baselines),Gradient Boosting,XGBoost,Local Only (93),93,Standard,None (Tabular),None (Tabular),N/A,789,1–34,35–39,40–49,0.9168,0.9528,0.6711,0.6583,0.8412,0.5582,0.6707,ABLATION,Section 5 (Feature Space Analysis),Conventional baseline run (Seed 789)
EXP_025,Phase 2 (Baselines),Gradient Boosting,XGBoost,Local Only (93),93,Standard,None (Tabular),None (Tabular),N/A,999,1–34,35–39,40–49,0.9211,0.9528,0.6774,0.6561,0.8467,0.5645,0.677,ABLATION,Section 5 (Feature Space Analysis),Conventional baseline run (Seed 999)
EXP_026,Phase 2 (Baselines),Gradient Boosting,XGBoost,Local Only (93),93,Weighted,None (Tabular),None (Tabular),N/A,42,1–34,35–39,40–49,0.9211,0.9549,0.69,0.6592,0.9478,0.5425,0.7056,ABLATION,Section 5 (Feature Space Analysis),Conventional baseline run (Seed 42)
EXP_027,Phase 2 (Baselines),Gradient Boosting,XGBoost,Local Only (93),93,Weighted,None (Tabular),None (Tabular),N/A,123,1–34,35–39,40–49,0.9206,0.9559,0.6692,0.659,0.8249,0.5629,0.6663,ABLATION,Section 5 (Feature Space Analysis),Conventional baseline run (Seed 123)
EXP_028,Phase 2 (Baselines),Gradient Boosting,XGBoost,Local Only (93),93,Weighted,None (Tabular),None (Tabular),N/A,456,1–34,35–39,40–49,0.9192,0.9525,0.6842,0.6595,0.9,0.5519,0.692,ABLATION,Section 5 (Feature Space Analysis),Conventional baseline run (Seed 456)
EXP_029,Phase 2 (Baselines),Gradient Boosting,XGBoost,Local Only (93),93,Weighted,None (Tabular),None (Tabular),N/A,789,1–34,35–39,40–49,0.9204,0.9547,0.666,0.65,0.8122,0.5645,0.6616,ABLATION,Section 5 (Feature Space Analysis),Conventional baseline run (Seed 789)
EXP_030,Phase 2 (Baselines),Gradient Boosting,XGBoost,Local Only (93),93,Weighted,None (Tabular),None (Tabular),N/A,999,1–34,35–39,40–49,0.9254,0.9552,0.6685,0.6576,0.7974,0.5755,0.6615,ABLATION,Section 5 (Feature Space Analysis),Conventional baseline run (Seed 999)
