Model,Family,Features,Weighting,Validation F1 Mean,Validation F1 Std,Validation PR-AUC Mean,Validation PR-AUC Std,Test F1 Mean,Test F1 Std,Test PR-AUC Mean,Test PR-AUC Std,Test Precision Mean,Test Precision Std,Test Recall Mean,Test Recall Std,Test MCC Mean,Test MCC Std,Seeds
Random Forest,Tree Ensemble,Full (165),Standard,0.9489,0.0023,0.9553,0.0008,0.7247,0.0027,0.6599,0.0025,0.9586,0.0198,0.5827,0.0042,0.7367,0.0057,5
XGBoost,Gradient Boosting,Full (165),Standard,0.9399,0.0053,0.9595,0.0015,0.7131,0.0111,0.6744,0.0028,0.9127,0.0366,0.5855,0.0062,0.7189,0.0154,5
MLP,Neural Network,Full (165),Standard,0.8212,0.0344,0.8446,0.0223,0.5848,0.0194,0.5115,0.0187,0.763,0.043,0.4761,0.0335,0.584,0.0155,5
Logistic Regression,Linear Model,Full (165),Standard,0.5921,0.0,0.4826,0.0,0.4015,0.0,0.2754,0.0,0.3821,0.0,0.423,0.0,0.364,0.0,5 (Deterministic)
GAT,Graph Neural Network,Full (165),Weighted (pos_weight=7.63),0.6006,0.0982,0.5939,0.1191,0.3308,0.0602,0.2667,0.0695,0.268,0.0632,0.4412,0.0281,0.2899,0.064,5
GraphSAGE,Graph Neural Network,Full (165),Weighted (pos_weight=7.63),0.4473,0.159,0.4106,0.1738,0.2822,0.1248,0.2366,0.1386,0.2695,0.1858,0.3588,0.0756,0.2391,0.1394,5
GCN,Graph Neural Network,Full (165),Weighted (pos_weight=7.63),0.4293,0.0923,0.4056,0.1386,0.2589,0.0639,0.2202,0.0703,0.2788,0.1255,0.2884,0.0839,0.2213,0.0766,5
