run_id,model,weighting,feature_mode,feature_space,num_features,seed,optimal_threshold,val_illicit_f1,val_pr_auc,val_illicit_precision,val_illicit_recall,val_roc_auc,test_illicit_f1,test_pr_auc,test_illicit_precision,test_illicit_recall,test_macro_f1,test_roc_auc,test_mcc,test_accuracy,test_tp,test_fp,test_tn,test_fn
1,Logistic Regression,Standard,local,Local Only (93),93,42,0.54,0.6788830715532286,0.39352440692932295,0.5565092989985694,0.8702460850111857,0.9245753369800567,0.4378411158277744,0.21395562257502432,0.35636722606120436,0.5676100628930818,0.6965497871237911,0.8208903652187186,0.40813482973904697,0.9171137339055794,361,652,9896,275
2,Logistic Regression,Standard,local,Local Only (93),93,123,0.54,0.6788830715532286,0.39352440692932295,0.5565092989985694,0.8702460850111857,0.9245753369800567,0.4378411158277744,0.21395562257502432,0.35636722606120436,0.5676100628930818,0.6965497871237911,0.8208903652187186,0.40813482973904697,0.9171137339055794,361,652,9896,275
3,Logistic Regression,Standard,local,Local Only (93),93,456,0.54,0.6788830715532286,0.39352440692932295,0.5565092989985694,0.8702460850111857,0.9245753369800567,0.4378411158277744,0.21395562257502432,0.35636722606120436,0.5676100628930818,0.6965497871237911,0.8208903652187186,0.40813482973904697,0.9171137339055794,361,652,9896,275
4,Logistic Regression,Standard,local,Local Only (93),93,789,0.54,0.6788830715532286,0.39352440692932295,0.5565092989985694,0.8702460850111857,0.9245753369800567,0.4378411158277744,0.21395562257502432,0.35636722606120436,0.5676100628930818,0.6965497871237911,0.8208903652187186,0.40813482973904697,0.9171137339055794,361,652,9896,275
5,Logistic Regression,Standard,local,Local Only (93),93,999,0.54,0.6788830715532286,0.39352440692932295,0.5565092989985694,0.8702460850111857,0.9245753369800567,0.4378411158277744,0.21395562257502432,0.35636722606120436,0.5676100628930818,0.6965497871237911,0.8208903652187186,0.40813482973904697,0.9171137339055794,361,652,9896,275
6,Logistic Regression,Weighted,local,Local Only (93),93,42,0.87,0.6325060048038431,0.3539562376934462,0.4925187032418953,0.883668903803132,0.9174612518996126,0.4067796610169492,0.19823582253954922,0.31181894383906117,0.5849056603773585,0.6769766653105584,0.8271492643393603,0.3804150501073531,0.9029864091559371,372,821,9727,264
7,Logistic Regression,Weighted,local,Local Only (93),93,123,0.87,0.6325060048038431,0.3539562376934462,0.4925187032418953,0.883668903803132,0.9174612518996126,0.4067796610169492,0.19823582253954922,0.31181894383906117,0.5849056603773585,0.6769766653105584,0.8271492643393603,0.3804150501073531,0.9029864091559371,372,821,9727,264
8,Logistic Regression,Weighted,local,Local Only (93),93,456,0.87,0.6325060048038431,0.3539562376934462,0.4925187032418953,0.883668903803132,0.9174612518996126,0.4067796610169492,0.19823582253954922,0.31181894383906117,0.5849056603773585,0.6769766653105584,0.8271492643393603,0.3804150501073531,0.9029864091559371,372,821,9727,264
9,Logistic Regression,Weighted,local,Local Only (93),93,789,0.87,0.6325060048038431,0.3539562376934462,0.4925187032418953,0.883668903803132,0.9174612518996126,0.4067796610169492,0.19823582253954922,0.31181894383906117,0.5849056603773585,0.6769766653105584,0.8271492643393603,0.3804150501073531,0.9029864091559371,372,821,9727,264
10,Logistic Regression,Weighted,local,Local Only (93),93,999,0.87,0.6325060048038431,0.3539562376934462,0.4925187032418953,0.883668903803132,0.9174612518996126,0.4067796610169492,0.19823582253954922,0.31181894383906117,0.5849056603773585,0.6769766653105584,0.8271492643393603,0.3804150501073531,0.9029864091559371,372,821,9727,264
11,Random Forest,Standard,local,Local Only (93),93,42,0.54,0.9279069767441861,0.9488495743728765,0.9661016949152542,0.8926174496644296,0.9833895170244797,0.6952380952380952,0.6493037878112999,0.8816425120772947,0.5738993710691824,0.840113653116749,0.8397656684148893,0.6982511214275965,0.9713876967095851,365,49,10499,271
12,Random Forest,Standard,local,Local Only (93),93,123,0.59,0.9300699300699301,0.9483527290136698,0.9708029197080292,0.8926174496644296,0.9833273620125438,0.693050193050193,0.6492678351729214,0.8975,0.5644654088050315,0.8390715056756683,0.8416443965054629,0.6990851150337569,0.9715665236051502,359,41,10507,277
13,Random Forest,Standard,local,Local Only (93),93,456,0.57,0.9300699300699301,0.9503108073670063,0.9708029197080292,0.8926174496644296,0.984885676954653,0.6981677917068466,0.6497215232010032,0.9027431421446384,0.5691823899371069,0.8417471558974906,0.8337966242370904,0.7043568196827867,0.9720135908440629,362,39,10509,274
14,Random Forest,Standard,local,Local Only (93),93,789,0.63,0.9292452830188679,0.9500576108211497,0.9825436408977556,0.8814317673378076,0.9850059912991863,0.6895874263261297,0.6492670519285579,0.918848167539267,0.5518867924528302,0.8373932447789899,0.841870228461445,0.6999401984345005,0.9717453505007153,351,31,10517,285
15,Random Forest,Standard,local,Local Only (93),93,999,0.6,0.9306698002350177,0.9477143400768406,0.9801980198019802,0.8859060402684564,0.981668267158224,0.6920077972709552,0.6500308507679388,0.9102564102564102,0.5581761006289309,0.838600656202716,0.8438022469310704,0.7004415655883324,0.9717453505007153,355,35,10513,281
16,Random Forest,Weighted,local,Local Only (93),93,42,0.77,0.9290780141843972,0.9497991456107848,0.9849624060150376,0.8791946308724832,0.9848519356624593,0.6699604743083004,0.6480491065537295,0.901595744680851,0.5330188679245284,0.827160420709123,0.8407107341580746,0.6803338682782609,0.9701359084406295,339,37,10511,297
17,Random Forest,Weighted,local,Local Only (93),93,123,0.79,0.9267139479905437,0.9493343630819989,0.9824561403508771,0.8769574944071589,0.9848925584024031,0.6706231454005934,0.6505417881209645,0.904,0.5330188679245284,0.8275155339308067,0.862636184867977,0.6813308277594086,0.970225321888412,339,36,10512,297
18,Random Forest,Weighted,local,Local Only (93),93,456,0.78,0.9301775147928995,0.9493520262381376,0.9874371859296482,0.8791946308724832,0.9845802294674249,0.6693069306930693,0.6506969165242099,0.9037433155080213,0.5314465408805031,0.8268343811626223,0.8556026746851173,0.6801841468076553,0.9701359084406295,338,36,10512,298
19,Random Forest,Weighted,local,Local Only (93),93,789,0.73,0.9299065420560748,0.9493744266745162,0.9731051344743277,0.8903803131991052,0.9837422467172163,0.6776061776061776,0.6481878744439623,0.8775,0.5518867924528302,0.8309744745146957,0.8418075470505603,0.6824527659403273,0.9701359084406295,351,49,10499,285
20,Random Forest,Weighted,local,Local Only (93),93,999,0.77,0.9274673008323424,0.949049940353729,0.9898477157360406,0.87248322147651,0.9831078216310984,0.6739130434782609,0.6519656394901279,0.9069148936170213,0.5361635220125787,0.8292303557904509,0.8591795398334776,0.6846178434504475,0.9704935622317596,341,35,10513,295
21,XGBoost,Standard,local,Local Only (93),93,42,0.71,0.9182692307692307,0.9549004985338112,0.9922077922077922,0.854586129753915,0.989774168643418,0.67,0.654624122024867,0.9203296703296703,0.5267295597484277,0.8272781729689256,0.8817238297283696,0.6838552602153806,0.9704935622317596,335,29,10519,301
22,XGBoost,Standard,local,Local Only (93),93,123,0.67,0.9214285714285714,0.9520060090997335,0.9847328244274809,0.8657718120805369,0.9881821124091149,0.6801541425818882,0.6574072222922264,0.8781094527363185,0.5550314465408805,0.8322946052806299,0.8769631728450713,0.6847283653228037,0.9703147353361946,353,49,10499,283
23,XGBoost,Standard,local,Local Only (93),93,456,0.72,0.9149700598802395,0.9494989768214307,0.9845360824742269,0.854586129753915,0.9882353881336315,0.6520874751491054,0.6504205926934276,0.8864864864864865,0.5157232704402516,0.8178516207315605,0.8833062931242144,0.6626286180531171,0.9687052932761088,328,42,10506,308
24,XGBoost,Standard,local,Local Only (93),93,789,0.63,0.9167643610785463,0.952844921242911,0.9630541871921182,0.8747203579418344,0.9894083420017377,0.6710775047258979,0.6583395021323212,0.8412322274881516,0.5581761006289309,0.8273735716965951,0.8797775011149986,0.6706742465581519,0.9688841201716738,355,67,10481,281
